what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1263509418789
java.specification.name,sysinfo,,,"Java Platform API Specification",1263509418789
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263509418789
java.specification.version,sysinfo,,,"1.6",1263509418789
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263509418789
java.version,sysinfo,,,"1.6.0_18",1263509418789
java.vm.info,sysinfo,,,"mixed mode",1263509418789
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1263509418789
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263509418789
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263509418789
java.vm.specification.version,sysinfo,,,"1.0",1263509418789
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1263509418789
java.vm.version,sysinfo,,,"16.0-b13",1263509418789
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1263509418879
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1263509419209
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1263509419310
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1263509419390
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1263509419760
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1263509419770
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1263509419780
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1263509420251
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1263509420391
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1263509422745
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1263509422755
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1263509423486
